Tipo_esercizio_storico_pe,Insegna,Tipo_via,Descrizione_via,Civico,Codice_via,ZD,Forma_vendita,Settore_storico_pe,Superficie_somministrazione,Isolato,Forma_commercio_solo_somministrazione_boolean,Forma_commercio_somministrazione/minuto_boolean,Forma_commercio_prev_somministrazione_boolean,Forma_commercio_prev_minuto_boolean,Ingresso
ristorante,unspecified,ALZ,NAVIGLIO GRANDE,120,5144,6,misto,genere merceologico soggetto ad autorizzazione sanitaria;ristorante,83.0,57,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,ALZ,NAVIGLIO GRANDE,440,5144,6,al banco,bar gastronomici e simili,26.0,43,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,ALZ,NAVIGLIO GRANDE,480,5144,6,al banco,bar gastronomici e simili,58.0,55,False,False,False,False,ACCESSO ESTERNO
ristorante,unspecified,ALZ,NAVIGLIO GRANDE,80,5144,6,misto,bar caffetteria;ristorante,101.0,52,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,ALZ,NAVIGLIO PAVESE,240,5161,6,al banco,bar gastronomici e simili,51.0,75,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,ALZ,NAVIGLIO PAVESE,60,5161,6,al banco,"bar gastronomici e simili;bar,pasticceria,gelateria,cremeria,creperia",20.0,114,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,BST,DI PORTA NUOVA,100,1062,1,misto,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,341.0,204,False,False,False,False,PIAZZA XXV APRILE
bar caffetteria,unspecified,BST,DI PORTA VOLTA,90,1066,1,al banco,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,51.0,190,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,BST,DI PORTA VOLTA,90,1066,1,al banco,"bar caffetteria;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda;wine,birreria,pub,enoteca,caffetteria,the",26.0,196,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,BST,DI PORTA VOLTA,18,1066,1,misto,bar caffetteria;ristorante,115.0,186,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,VIA,CALDERA,210,6302,7,al tavolo,genere merceologico soggetto ad autorizzazione sanitaria,100.0,40,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,VLE,MONZA,370,2274,2,al banco,bar gastronomici e simili,52.0,293,False,False,False,False,ACCESSO ESTERNO
ristorante,unspecified,CSO,BUENOS AIRES,30,2129,3,misto,bar caffetteria;ristorante,179.0,82,False,False,False,False,HOTEL
bar caffetteria,unspecified,CSO,COLOMBO CRISTOFORO,10,5114,6,al banco,bar gastronomici e simili,36.0,52,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,COLOMBO CRISTOFORO,60,5114,6,al banco,ristorante,37.0,52,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,COMO,150,1111,9,misto,bar caffetteria;bar gastronomici e simili;ristorante,119.0,320,False,False,False,False,VIA DE TEQUEVILLE
bar caffetteria,unspecified,CSO,CONCORDIA,100,3116,4,al banco,genere merceologico soggetto ad autorizzazione sanitaria,53.0,59,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA ROMANA,1110,402,1,al banco,bar caffetteria;ristorante,35.0,107,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA ROMANA,1310,402,1,al banco,"bar caffetteria;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda;wine,birreria,pub,enoteca,caffetteria,the",20.0,80,False,False,False,False,VIA CALDARA
bar caffetteria,unspecified,CSO,DI PORTA ROMANA,1320,402,1,al banco,ristorante,42.0,112,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA TICINESE,10,541,1,al tavolo,bar caffetteria;ristorante,185.0,237,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA TICINESE,380,541,1,al banco,bar caffetteria;tavola fredda,10.0,206,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA TICINESE,590,541,1,al banco,genere merceologico soggetto ad autorizzazione sanitaria,41.0,209,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA TICINESE,60,541,1,misto,bar caffetteria;ristorante,78.0,202,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA TICINESE,830,541,1,al banco,"genere merceologico soggetto ad autorizzazione sanitaria;tavola calda;tavola calda,self service,fast food",16.0,202,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA VIGENTINA,100,4026,1,al banco,"bar,pasticceria,gelateria,cremeria,creperia",15.0,110,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA VIGENTINA,20,4026,1,al banco,genere merceologico soggetto ad autorizzazione sanitaria,31.0,204,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA VIGENTINA,60,4026,1,al banco,genere merceologico soggetto ad autorizzazione sanitaria,16.0,125,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA VITTORIA,180,3016,1,misto,bar caffetteria;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,60.0,107,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA VITTORIA,470,3016,1,misto,"bar,pasticceria,gelateria,cremeria,creperia",98.0,118,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA VITTORIA,510,3016,1,al banco,genere merceologico soggetto ad autorizzazione sanitaria,53.0,76,False,False,False,False,VIA DONIZETTI
bar caffetteria,unspecified,CSO,EUROPA,180,300,1,misto,genere merceologico soggetto ad autorizzazione sanitaria,60.0,220,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,EUROPA,220,300,1,al banco,genere merceologico soggetto ad autorizzazione sanitaria,34.0,221,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,EUROPA,50,300,1,al tavolo,ristorante,185.0,244,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GARIBALDI GIUSEPPE,1040,1010,1,al banco,"bar caffetteria;bar,pasticceria,gelateria,cremeria,creperia;gelateria;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda",32.0,124,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GARIBALDI GIUSEPPE,120,1010,1,misto,"bar caffetteria;bar gastronomici e simili;bar,pasticceria,gelateria,cremeria,creperia;tavola fredda",118.0,145,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GARIBALDI GIUSEPPE,340,1010,1,al banco,bar caffetteria;ristorante,58.0,109,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GARIBALDI GIUSEPPE,360,1010,1,al banco,bar caffetteria;bar gastronomici e simili,58.0,104,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GARIBALDI GIUSEPPE,590,1010,1,misto,bar caffetteria;bar gastronomici e simili,117.0,102,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GARIBALDI GIUSEPPE,590,1010,1,al banco,bar gastronomici e simili,38.0,120,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GARIBALDI GIUSEPPE,680,1010,1,misto,"bar caffetteria;ristorante;wine,birreria,pub,enoteca,caffetteria,the",114.0,105,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GARIBALDI GIUSEPPE,790,1010,1,misto,bar gastronomici e simili,60.0,84,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GARIBALDI GIUSEPPE,810,1010,1,misto,genere merceologico soggetto ad autorizzazione sanitaria,60.0,89,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,ITALIA,340,526,1,al banco,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,43.0,319,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,VIA,FOSCOLO UGO,40,205,1,al banco,bar caffetteria;bar gastronomici e simili;tavola fredda,52.0,320,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,GENOVA,70,5164,1,al banco,bar caffetteria,19.0,173,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,INDIPENDENZA,120,3118,4,al banco,bar caffetteria;bar gastronomici e simili,41.0,46,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,ITALIA,340,526,1,al banco,bar caffetteria;bar gastronomici e simili,52.0,317,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,ITALIA,60,526,1,misto,bar caffetteria;ristorante,97.0,357,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,DI PORTA ROMANA,510,402,1,misto,bar gastronomici e simili,82.0,82,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,LODI,1040,4068,4,al banco,genere merceologico soggetto ad autorizzazione sanitaria,20.0,55,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,LODI,590,4068,4,al banco,genere merceologico soggetto ad autorizzazione sanitaria,29.0,36,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,LODI,830,4068,4,al banco,genere merceologico soggetto ad autorizzazione sanitaria,21.0,56,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,LODI,920,4068,4,al banco,genere merceologico soggetto ad autorizzazione sanitaria,36.0,48,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,MAGENTA,240,604,1,misto,bar caffetteria;bar gastronomici e simili,186.0,189,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,MAGENTA,480,604,1,misto,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;tavola fredda,108.0,195,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,MAGENTA,650,604,1,al banco,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,31.0,232,False,False,False,False,ACCESSO ESTERNO
ristorante,unspecified,CSO,MAGENTA,870,604,1,misto,genere merceologico soggetto ad autorizzazione sanitaria;ristorante,104.0,180,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,MATTEOTTI GIACOMO,40,218,1,misto,genere merceologico soggetto ad autorizzazione sanitaria,166.0,222,False,False,False,False,HOTEL
bar caffetteria,unspecified,CSO,MATTEOTTI GIACOMO,60,218,1,misto,genere merceologico soggetto ad autorizzazione sanitaria,179.0,231,False,False,False,False,HOTEL
bar caffetteria,unspecified,CSO,SAN GOTTARDO,20,5203,5,al tavolo,bar gastronomici e simili;seconda bottiglia,139.0,104,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,SAN GOTTARDO,490,5203,5,al banco,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola calda,47.0,88,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,SAN GOTTARDO,80,5203,5,al banco,"bar caffetteria;bar gastronomici e simili;bar,pasticceria,gelateria,cremeria,creperia;genere merceologico soggetto ad autorizzazione sanitaria;tavola calda;tavola calda,self service,fast food;tavola fredda",41.0,85,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,SEMPIONE,100,7137,1,misto,bar caffetteria;ristorante,101.0,121,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,SEMPIONE,110,7137,1,misto,bar caffetteria;ristorante,89.0,186,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,SEMPIONE,300,7137,8,al tavolo,bar caffetteria;pizzeria;pizzeria e simili;ristorante,204.0,69,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,SEMPIONE,340,7137,8,misto,genere merceologico soggetto ad autorizzazione sanitaria,119.0,73,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,SEMPIONE,340,7137,8,misto,ristorante,83.0,67,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,SEMPIONE,810,7137,8,al banco,ristorante,35.0,46,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,SEMPIONE,880,7137,8,misto,bar gastronomici e simili;genere merceologico soggetto ad autorizzazione sanitaria;ristorante,85.0,50,False,False,False,False,V.PIERO D.FRANCESC
bar caffetteria,unspecified,CSO,VENTIDUE MARZO,250,3074,4,misto,bar gastronomici e simili,60.0,184,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,CSO,VENTIDUE MARZO,490,3074,4,al banco,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;tavola fredda,24.0,242,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,GLL,PASSARELLA,20,303,1,misto,bar caffetteria;ristorante,60.0,294,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,LGO,AUGUSTO,30,315,1,al banco,bar gastronomici e simili,61.0,219,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,LGO,BRASILIA,40,6145,6,misto,bar caffetteria;genere merceologico soggetto ad autorizzazione sanitaria;pizzeria;pizzeria e simili;ristorante,98.0,100,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,LGO,CAIROLI,20,710,1,misto,ristorante,60.0,129,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,LGO,DEI GELSOMINI,20,5394,6,al banco,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,67.0,112,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,LGO,LA FOPPA,50,1033,1,al banco,bar caffetteria;bar gastronomici e simili,43.0,72,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,LGO,RODARI GIANNI,10,3305,4,al banco,bar gastronomici e simili,42.0,91,False,False,False,False,ACCESSO ESTERNO
